X,Y,Z
577860,5313710,168
577870,5313710,168.5
577880,5313710,168.9
577890,5313710,169.3
577900,5313710,169.8
577910,5313710,170.2
577920,5313710,170.6
577930,5313710,171.4
577940,5313710,172.4
577950,5313710,173.3
577960,5313710,174.4
577970,5313710,175.3
577980,5313710,176.1
577990,5313710,176.9
578000,5313710,177.8
578010,5313710,178.9
578020,5313710,180.1
578030,5313710,181.3
578040,5313710,182.4
578050,5313710,183.3
578060,5313710,184.3
578070,5313710,185.2
578080,5313710,186.1
578090,5313710,187
578100,5313710,187.8
578110,5313710,188.6
578120,5313710,189.2
578130,5313710,189.5
578140,5313710,189.9
578150,5313710,190.3
578160,5313710,190.6
578170,5313710,191
578180,5313710,191.2
578190,5313710,191.6
578200,5313710,192
578210,5313710,192.3
578220,5313710,192.7
578230,5313710,193
578240,5313710,193.4
578250,5313710,193.7
578260,5313710,194.1
578270,5313710,194.4
578280,5313710,194.8
578290,5313710,195.2
578300,5313710,195.5
578310,5313710,195.9
578320,5313710,196.4
578330,5313710,196.8
578340,5313710,197.2
578350,5313710,197.5
578360,5313710,197.7
578370,5313710,197.5
578380,5313710,197.4
578390,5313710,197.2
578400,5313710,196.9
578410,5313710,196.6
578420,5313710,196.2
578430,5313710,195.8
578440,5313710,195.4
578450,5313710,195.1
578460,5313710,195
578470,5313710,195
578480,5313710,196
578490,5313710,198.2
578500,5313710,199.9
578510,5313710,200.7
578520,5313710,201.8
578530,5313710,203.2
578540,5313710,205
578550,5313710,207
578560,5313710,210.6
578570,5313710,214.7
578580,5313710,218.8
578590,5313710,221.7
578600,5313710,224.5
578610,5313710,227.6
578620,5313710,230.3
578630,5313710,232.8
578640,5313710,235.2
578650,5313710,237.5
578660,5313710,239.9
578670,5313710,243.7
578680,5313710,248.4
578690,5313710,254.1
578700,5313710,256.9
578710,5313710,259.5
578720,5313710,261.7
578730,5313710,263.7
578740,5313710,265.6
578750,5313710,267.6
578760,5313710,269.6
578770,5313710,271.5
578780,5313710,273.5
578790,5313710,275.4
578800,5313710,278
578810,5313710,280.4
578820,5313710,281.6
578830,5313710,282.8
578840,5313710,283.9
578850,5313710,285
578860,5313710,285.9
578870,5313710,286.6
578880,5313710,287.1
578890,5313710,287.5
578900,5313710,287.8
578910,5313710,288.2
578920,5313710,288.5
578930,5313710,288.9
578940,5313710,289.2
578950,5313710,289.3
578960,5313710,289.7
578970,5313710,290.1
578980,5313710,290.3
578990,5313710,290.6
579000,5313710,290.8
579010,5313710,291
579020,5313710,291.1
579030,5313710,291.2
579040,5313710,291.2
579050,5313710,291.2
579060,5313710,291.2
579070,5313710,291.1
579080,5313710,291
579090,5313710,290.8
579100,5313710,290.7
579110,5313710,290.5
579120,5313710,290.3
579130,5313710,290.2
579140,5313710,290
579150,5313710,289.8
579160,5313710,289.5
579170,5313710,289.2
579180,5313710,288.8
579190,5313710,288.4
579200,5313710,287.8
579210,5313710,287.2
579220,5313710,286.4
579230,5313710,285.6
579240,5313710,284.9
579250,5313710,284.5
579260,5313710,284.2
579270,5313710,283.8
579280,5313710,283.4
579290,5313710,283
579300,5313710,282.7
579310,5313710,282.4
579320,5313710,281.9
579330,5313710,281.2
579340,5313710,280.4
579350,5313710,279.4
579360,5313710,278.4
579370,5313710,277.5
579380,5313710,276.4
579390,5313710,275.4
579400,5313710,274.3
579410,5313710,273.8
579420,5313710,273.3
579430,5313710,272.5
579440,5313710,271.7
579450,5313710,270.9
579460,5313710,270.3
579470,5313710,269.7
579480,5313710,269.2
579490,5313710,268.5
579500,5313710,268
579510,5313710,267.5
579520,5313710,267
579530,5313710,266.5
579540,5313710,266
579550,5313710,265.4
579560,5313710,264.8
579570,5313710,264.3
579580,5313710,263.9
579590,5313710,263.3
579600,5313710,262.6
579610,5313710,261.7
579620,5313710,260.5
579630,5313710,259.3
579640,5313710,258
579650,5313710,256.8
579660,5313710,255.7
579670,5313710,254.6
579680,5313710,254
579690,5313710,253.6
579700,5313710,253.4
579710,5313710,253.6
579720,5313710,254
579730,5313710,254.5
579740,5313710,255.1
579750,5313710,255.7
579760,5313710,256.1
579770,5313710,256.1
579780,5313710,256.2
579790,5313710,256.3
579800,5313710,256.3
579810,5313710,256.5
579820,5313710,256.6
579830,5313710,256.8
579840,5313710,256.7
579850,5313710,256.4
579860,5313710,256
579870,5313710,255.1
579880,5313710,254
579890,5313710,252.7
579900,5313710,251.6
579910,5313710,250.4
579920,5313710,248.8
577020,5313700,97.7
577030,5313700,97.7
577040,5313700,97.7
577050,5313700,97.7
577060,5313700,97.7
577070,5313700,97.6
577080,5313700,97.6
577090,5313700,97.6
577100,5313700,97.6
577110,5313700,97.5
577120,5313700,97.6
577130,5313700,97.5
577140,5313700,97.5
577150,5313700,97.5
577160,5313700,97.4
577170,5313700,97.3
577180,5313700,97.3
577190,5313700,97.4
577200,5313700,97.5
577210,5313700,97.7
577220,5313700,98.1
577230,5313700,98.3
577240,5313700,98.7
577250,5313700,99
577260,5313700,99.4
577270,5313700,99.9
577280,5313700,100.6
577290,5313700,101.1
577300,5313700,101.5
577310,5313700,102
577320,5313700,102.5
577330,5313700,103
577340,5313700,103.5
577350,5313700,104.6
577360,5313700,105.8
577370,5313700,107.1
577380,5313700,108.2
577390,5313700,109.3
577400,5313700,110.5
577410,5313700,111.8
577420,5313700,113.2
577430,5313700,114.3
577440,5313700,115.4
577450,5313700,116.8
577460,5313700,118.4
577470,5313700,119.9
577480,5313700,121
577490,5313700,121.9
577500,5313700,122.9
577510,5313700,123.8
577520,5313700,124.7
577530,5313700,125.7
577540,5313700,126.6
577550,5313700,127.9
577560,5313700,130.4
577570,5313700,133.2
577580,5313700,135.8
577590,5313700,138.6
577600,5313700,141.3
577610,5313700,143.9
577620,5313700,146.3
577630,5313700,148.3
577640,5313700,150.3
577650,5313700,152.1
577660,5313700,153.8
577670,5313700,155.4
577680,5313700,156.9
577690,5313700,158.2
577700,5313700,159.1
577710,5313700,159.9
577720,5313700,160.7
577730,5313700,161.4
577740,5313700,162.1
577750,5313700,162.8
577760,5313700,163.4
577770,5313700,164.1
577780,5313700,164.7
577790,5313700,165.1
577800,5313700,165.4
577810,5313700,165.8
577820,5313700,166.1
577830,5313700,166.6
577840,5313700,167
577850,5313700,167.6
577860,5313700,168
577870,5313700,168.4
577880,5313700,168.8
577890,5313700,169.2
577900,5313700,169.6
577910,5313700,170
577920,5313700,170.4
577930,5313700,170.9
577940,5313700,171.9
577950,5313700,172.9
577960,5313700,174
577970,5313700,174.9
577980,5313700,175.7
577990,5313700,176.4
578000,5313700,177.3
578010,5313700,178.5
578020,5313700,179.7
578030,5313700,181
578040,5313700,182.1
578050,5313700,183.1
578060,5313700,184
578070,5313700,184.9
578080,5313700,185.7
578090,5313700,186.7
578100,5313700,187.5
578110,5313700,188.2
578120,5313700,189
578130,5313700,189.4
578140,5313700,189.7
578150,5313700,190.1
578160,5313700,190.4
578170,5313700,190.7
578180,5313700,191
578190,5313700,191.4
578200,5313700,191.7
578210,5313700,192.1
578220,5313700,192.5
578230,5313700,192.8
578240,5313700,193.2
578250,5313700,193.5
578260,5313700,193.8
578270,5313700,194.2
578280,5313700,194.6
578290,5313700,195
578300,5313700,195.3
578310,5313700,195.7
